Title,Body,Assignee,Labels,Milestone,Status
"Inicializar banco e estrutura de dados","Criar diretório em %LOCALAPPDATA%\\AppName\\ e rotina de inicialização. Arquivos: app/db.py, db/init_db.py. Estimativa: 6h. AC: DB criado com WAL ativo.","santos-savio","backend,enhancement","MVP","✅ CONCLUÍDO"
"Modelos ORM (Client/Product/Transaction)","Implementar models SQLAlchemy e CRUD. Arquivo: app/models.py. Estimativa: 8h. AC: Models com testes.","santos-savio","backend,enhancement","MVP","✅ CONCLUÍDO"
"Migrações e script de upgrade","Configurar Flask-Migrate/Alembic. Arquivos: migrations/, app/migrations.py. Estimativa: 4h.","santos-savio","backend","MVP","⚠️ PARCIAL"
"Backups rotativos e utilitário de restore","Rotina para criar backups timestamped e manter N versões. Arquivo: app/db_backup.py. Estimativa: 4h.","santos-savio","backend","MVP","❌ NÃO IMPLEMENTADO"
"Wrapper e inicialização do webview","Implementar main.py que inicia Flask e pywebview sem console. Estimativa: 6h.","santos-savio","frontend","MVP","✅ CONCLUÍDO"
"Template principal (index)","Layout com cliente search, lista produtos, valor e botão Salvar fixo. Arquivos: templates/index.html, static/css/style.css. Estimativa: 6h.","santos-savio","frontend","MVP","✅ CONCLUÍDO"
"JS de interação UI ↔ API","Eventos para autocomplete, add/remove produto, cálculo total, save. Arquivos: static/js/app.js. Estimativa: 8h.","santos-savio","frontend","MVP","✅ CONCLUÍDO"
"Assets e ícones","Adicionar icon.ico e assets. Estimativa: 2h.","santos-savio","packaging","MVP","✅ CONCLUÍDO"
"Busca / Autocomplete de cliente + remoção","Endpoint e UI para buscar e remover cliente. Arquivos: app/api/clients.py, static/js/app.js. Estimativa: 6h.","santos-savio","frontend,backend","MVP","✅ CONCLUÍDO"
"Listbox de produtos/serviços","Implementar listbox e seleção múltipla. Arquivos: app/api/products.py. Estimativa: 6h.","santos-savio","frontend","MVP","✅ CONCLUÍDO"
"Configurar campos visíveis (modal)","Modal para marcar/ordenar campos visíveis. Arquivos: templates/config.html, app/api/settings.py. Estimativa: 6h.","santos-savio","frontend","MVP","✅ CONCLUÍDO"
"Resumo PIN (painel fixo)","PIN com hash e painel de resumo protegido. Arquivos: app/api/auth.py, templates/summary.html. Estimativa: 6h.","santos-savio","frontend","MVP","✅ CONCLUÍDO"
"Relatório por intervalo de datas (export)","Endpoint para export CSV/XLSX/PDF por intervalo. Arquivos: app/api/reports.py, app/utils/export.py. Estimativa: 8h.","santos-savio","backend,enhancement","MVP","✅ CONCLUÍDO"
"Página de export + filtros UI","Date-range picker e botão exportar. Arquivos: templates/report.html, static/js/report.js. Estimativa: 4h.","santos-savio","frontend","MVP","✅ CONCLUÍDO"
"Script PyInstaller + spec","Adicionar pyinstaller.spec e script de build. Estimativa: 6h.","santos-savio","packaging","MVP","✅ CONCLUÍDO"
"Instalador Inno Setup","Criar installer.iss para gerar instalador Windows. Estimativa: 4h.","santos-savio","packaging","MVP","✅ CONCLUÍDO"
"Suíte de testes automatizados","Adicionar testes unit/integration/e2e e CI. Estimativa: 8h.","santos-savio","tests","MVP","❌ NÃO IMPLEMENTADO"
